jobID,jobTitle,jobDescription,jobLocation,educationLevel,requiredSkills,experience,salary,workMode,numberofpositions,companyName,companyAssets,noOfEmployees,companyCeo,companySector
1,Walkin Data Entry Operator (night Shift),"Qualifications: - == > 10th To Graduation & Any Skill: - == > Basic Computer Knowledge Job Requirement : - == > System or Laptop Type of job: - == > Full Time or Part time Languages : - == > Tamil & English. Experience : - == > Freshers & Experience payment details: - 1 form per day 5/- 10 form per day 50/- 100 form per day 500/- monthly you can earn 15000/- per month Selection Process: - == > Easy Selection Process,So What Are You Waiting For? Apply Now & Grab Best Opportunity To Make Your Carrier & To Improve Your Earing Skills. More detail contact Mr Hari 8678902528 9003010282 Salary:INR 1,50,000 - 2,25,000 P.A Industry: Media / Entertainment / Internet Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Other Role:Fresher Keyskills English Typing Part Time Data Entry Selection Process Desired Candidate Profile Education- UG: B.Tech/B.E. - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Please refer to the Job description above Company Profile: MM Media Pvt Ltd Mass Media International Find Live Info Pvt Ltd DATA SERVICES is established in the year 2012 with a vision of transforming an ordinary to extra ordinary thing. Find live info is one of our main project, it is a developing search engine site based at Chennai, India. With years of experience, we have crafted massive data collection job opportunities for public. FIND LIVE INFO a blend of experience, imagination, strategy and action to create digital experience that excite, challenge, inspire and engage users. FIND LIVE INFO provides other business opportunities which will be handled by experts of various fields. We have interesting combination of young and experienced Specialists Under the guidance of our Top Management we bloom towards success More detail contect 8678902528 Download PPT Photo 1   View Contact Details","Kansas City, MO",Bachelors,"Big Data Technologies, Data Clustering, Cloud Computing (e.g., AWS, Azure, GCP), Data Governance Frameworks (e.g., GDPR, CCPA), Data Blending, Data Migration Strategies, Data Annotation, Data Storytelling, Data Denormalization, Data Replication, Data Integration, Data Resilience, Data Warehousing, Deep Learning, Dimensionality Reduction, Business Intelligence, Data Flow Diagrams, Data Transformation, Data Synchronization, Data Analysis, Apache Kafka, Data Validation Testing, Data Pipelines, Data Analysis Frameworks (e.g., Pandas, NumPy), Data Migration, Data Governance Policies, Data Simulation, Data Imputation, Data Engineering, Data Cleaning, Data Partitioning, Data Querying, Data Validation, Data Resampling, Data Versioning, Data Reduction Techniques, Web Scraping, Data Cataloging, Data Visualization Tools (e.g., Tableau, Power BI), Data Dictionary Management, Data Ethics Compliance, Data Monitoring, Spark, Data Science, MapReduce, Data Pipelining, Data Normalization, Data Cleaning Techniques",4,56136.64,Remote,,Walmart,"$204,522","2,300,000",C. Douglas McMillon,Retailing
2,Work Based Onhome Based Part Time.,"Qualifications: - == > 10th To Graduation & Any Skill: - == > Basic Computer Knowledge Job Requirement : - == > System or Laptop Type of job: - == > Full Time or Part time Languages : - == > Tamil & English. Experience : - == > Freshers & Experience payment details: - 1 form per day 5/- 10 form per day 50/- 100 form per day 500/- monthly you can earn 15000/- per month Selection Process: - == > Easy Selection Process,So What Are You Waiting For? Apply Now & Grab Best Opportunity To Make Your Carrier & To Improve Your Earing Skills. Chennai Peoples Only Contact Deepika Team Leader 9087728815 / 9087726713 Salary:INR 1,50,000 - 2,50,000 P.A. 20000 Industry: Advertising / PR / MR / Event Management Functional Area: Marketing , Advertising , MR , PR , Media Planning Role Category:Online/Digital Marketing Role:Search Engine Marketing/SEM Specialist Keyskills Data Entry data processing Desired Candidate Profile Education- UG: B.Tech/B.E. - Any Specialization PG:MBA/PGDM - Any Specialization Please refer to the Job description above Company Profile: find live infotech Find Live Infotech is one of our main projects, it is a developing search engine site based at chennai , India. With years of experience , we have crafted massive data collection job oppurtunties for public. Find live infotech provides other business opportunities which will be handled by experts of various fields Download PPT Photo 1   View Contact Details","Seattle, WA",Bachelors,"Data Engineering, Data Simulation, Data Visualization, Data Migration Strategies, Data Governance, Deep Learning, Data Serialization Formats (e.g., JSON, XML, Parquet, Avro), NoSQL, Data Profiling Tools, Data Modeling, Big Data Technologies, Data Integration, Data Analysis, Data Schema Design, Spark, Data Cleaning Tools (e.g., OpenRefine), Data Annotation, Data Validation Testing, Data Storytelling, Data Synchronization, MapReduce, Data Quality Assurance, Predictive Analytics, Data Blending, Data Compression, Data Normalization, Data Ethics Compliance, Data Profiling, Dimensionality Reduction, Data Visualization Tools (e.g., Tableau, Power BI), Data Dictionary Management, Web Scraping, Data Streaming, A/B Testing, Data Clustering, Data Labeling, Data Pipelines, Data Resilience, Data Monitoring, Data Augmentation, Cloud Computing (e.g., AWS, Azure, GCP), Data Encryption, Data Warehousing Solutions (e.g., Teradata, Snowflake), Data Querying, Data Ethics, Data Mining, Data Migration, Data Aggregation, Data Science, Data Validation, Data Cleaning, Data Versioning, Data Preprocessing, Data Imputation, Natural Language Processing (NLP), SQL, Data Masking, Data Privacy, Data Resampling, R, Data Denormalization, Data Exploration, Data Governance Frameworks (e.g., HIPAA, SOX), Data Classification, Data Privacy Regulations, Data Lineage, Hadoop, Apache Kafka, Data Reduction Techniques, Data Cataloging, Data Pipelining, Data Governance Frameworks (e.g., GDPR, CCPA), Data Storage (e.g., HDFS), Data Flow Diagrams, Data Backup Solutions, Statistical Analysis, Data Transformation, Data Query Languages (e.g., HiveQL, PigLatin), Data Warehousing, Data Governance Policies",5,48715.69,Remote,60,Exxon Mobil,"$348,691","71,200",Darren W. Woods,Energy
3,Pl/sql Developer - SQL,"- as a developer in providing application design guidance and consultation, utilizing a thorough understanding of applicable technology, tools and existing designs. - Analyzes highly complex business requirements, designs and writes technical specifications to design or redesign complex computer platforms and applications. - Provides coding direction to less experienced staff or develops highly complex original code. - Acts as an expert technical resource for modeling, simulation and analysis efforts. - Verifies program logic by overseeing the preparation of test data, testing and debugging of programs. - Oversees overall systems testing and the migration of platforms and applications to production. - Develops new documentation, departmental technical procedures and user guides. - Leads projects, allocates and manages resources and manages the work of less experienced staff. - Assures quality, security and compliance requirements are met for supported area and oversees creation of or updates to and testing of the business continuation plan.: 7+ years application development and implementation experience. Additional Job Details: - Looking for PL/SQL developer, who has experience loading data using SQL loader. Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills SQL Loader PL SQL Development PLSQL Procedures Application Design Test Data Application Development Desired Candidate Profile   Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate Doctorate:Doctorate Not Required Company Profile: Softtech Career Infosystem Pvt. Ltd Leading client of Softtech Career Infosystem Pvt. Ltd Download PPT Photo 1   View Contact Details","Dallas, TX",Bachelors,"Data Governance Frameworks (e.g., GDPR, CCPA), Machine Learning, R, Data Transformation, Data Dictionary Management, Web Scraping, Data Preprocessing, Data Governance Frameworks (e.g., HIPAA, SOX), Data Storage (e.g., HDFS), Data Backup Solutions, Data Annotation, Hadoop, Data Cleaning Tools (e.g., OpenRefine), Data Visualization, Data Ethics Compliance, Data Recovery, Data Exploration, Predictive Analytics, Data Architecture, Data Encryption, Data Clustering, Data Warehousing, Data Cleaning, Data Partitioning, Data Simulation, Data Flow Diagrams, Apache Kafka, Data Wrangling, Data Lakes, Data Aggregation, Data Modeling, Data Lineage, Data Streaming, Data Engineering, Data Compression, Data Classification, Big Data Technologies, Data Validation Testing, Data Quality Assurance, Data Transformation Languages (e.g., SQL, Python, Scala), Python, Data Synchronization, Data Migration, Business Intelligence, Data Profiling Tools, Data Visualization Tools (e.g., Tableau, Power BI), Natural Language Processing (NLP), Deep Learning, Statistical Analysis, Data Mining, Time Series Analysis, Data Governance Policies, Data Resilience, Data Normalization, ETL (Extract, Transform, Load), Distributed Computing, Data Cataloging, Data Analysis, Data Querying, Spark, Data Shuffling, Data Ethics, Data Security, Data Pipelines, Data Schema Design, Data Validation, SQL",5,91730.62,Hybrid,,Berkshire Hathaway,"$702,095","377,000",Warren E. Buffett,Financials
4,Manager/ad/partner - Indirect Tax - CA,"- Involved with all stages of indirect taxation, including planning, execution and completion and will supervise and develop those with less experience. - Will be the primary on-site client contact for basic questions and information. - Advise clients on various critical issues related to all arena of Indirect taxes such as customs, excise, VAT, service tax etc. - Structured various transactions and agreements for indirect tax efficiencies - Ensure Strict Compliance of Central Excise & Service Tax Laws - Attending personal Hearings up to the level of Tribunal. - Develop Internal Systems to control day to day activities in terms of Central excise & service tax laws - Advice Company management on Central Excise & Service Tax matters to decide Company's policy in context of tax planning - Export formalities & documentation - Preparation & Realization of all types of refund claims - Liaison with Central Excise Department - Formalities related to establishment & operation of 100% EOU & STPI, SEZs. - Advising various clients on works contracts for all sectors - Tax planning and transaction structuring for turnkey projects including EPC contracts - Designing of documentation & internal procedures for day to day working under VAT regime - Assessment & Appeal proceedings - VAT Audits for almost all the States under the VAT for all sectors. - Would be arguing various cases before various quasi judicial authorities - Identifying potential new business leads & cross sell opportunities - Success in conversion of referrals - Ensure delivery of quality work and take day to day leadership of delivery team and make sure compliance of all aspects of taxation . Salary: Not Disclosed by Recruiter Industry: Banking / Financial Services / Broking Functional Area: Accounts , Finance , Tax , Company Secretary , Audit Role Category:Accounts Role:Taxation(Indirect) Manager Keyskills Service Tax Matters Central Excise Customs EOU VAT Audit Indirect Taxation Auditing STPI Export Tax Planning Excise Service Tax Sales Tax Desired Candidate Profile Requirements :- Qualified C.A. (preferably first/ second attempt)- Good technical skills- Expertise in the area of Indirect Taxes on various engagements for MNC or top Indian corporate houses- Experience handling Excise, Customs, Service Tax, Sales Tax etc.- Ability to apply expertise in a consultative role- Superior leadership ability- Superior relationship building- Presentation and public speaking- Ability to analyse and think differentlyIf interested, please call Jyoti on 7045597424. Education- UG: Any Graduate - Any Specialization PG:CA Doctorate:Doctorate Not Required Company Profile: Onboard HRServices LLP Leading Client of Onboard HRServices LLP Download PPT Photo 1   View Contact Details","San Diego, CA",Bachelors,"Statistical Analysis, Data Synchronization, Data Visualization, Data Compression, Distributed Computing, Data Integration, Data Monitoring, Data Architecture, Data Lineage, Data Resampling, Time Series Analysis, Data Privacy Regulations, Data Classification, Hadoop, Data Labeling, Data Migration Strategies, SQL, Data Dictionary Management, Data Warehousing Solutions (e.g., Teradata, Snowflake), MapReduce, Data Profiling Tools, Data Mining",4,53254.49,Hybrid,,Apple,"$375,319","123,000",Timothy D. Cook,Technology
5,JAVA Technical Lead (6-8 yrs) -,"Please share your Resume on : regina.mary@spire2grow.com 1. Strong background in Java/J2EE, Data Structures, Algorithms, Design Patterns and Web services like REST. 2. HTML Scripting: Angular JS OR JQuery OR Knockout or Node.js or Meteor JS 3. SOA based Software development background 4. Experience in writing unit test cases using JUnit, TestNG etc. 5. Knowledge on Open Source tools used in development process (like Git) 6. Experience with relational databases (MySQL is a plus). 7. Experience in webservers like Tomcat. 8. Ability to do software development following Agile methodology Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Team Lead/Technical Lead Keyskills Javascript HTML JQuery Java Tomcat MySQL Rest JUnit Web Services GIT Desired Candidate Profile Education Qualification- BE/B.Tech or ME/M.Tech, MCA from Premier Institute.Experience - 6-8 yearsJob Location: BangaloreINterview Location :Bangalore Industry:Product BasedFunctional Area: IT Software - Application Programming, MaintenanceRole Category: Programming & DesignRole: Tech Lead***Note : Pay scale is open  Education- UG: B.Tech/B.E. - Any Specialization PG:Any Postgraduate - Any Specialization, MCA - Computers, M.Tech - Any Specialization Doctorate:Any Doctorate - Any Specialization Company Profile: Spire Technologies and Solutions Pvt. Ltd. Spire is a contextual search and intelligence company, founded in 2006. Spire is unleashing a wave of business transformation world over with its contextual technology. We are looking for intelligent, energetic and motivated professionals who could make a difference, and become part of our journey towards setting next-generation landmarks. Spire enables businesses take bigger leaps in decision making from Big Data analytics by charting the unexplored territories. Towards this, Spire's platform contributes exponentially. We build highly scalable, multi-tenant, distributed, service-oriented, cloud-hosted SaaS and PaaS products. Spire uses latest open-source technologies including those related to Big Data which are industry standard and widely adopted. At Spire, we are passionate about developing positively disruptive technologies that have proven to be transformational for business outcomes. Spire Technologies is adjudged as the best IT employer and a dream company to work by Times Ascent. Work culture The Spire team is a diverse group of sharp, highly driven, entrepreneurial professionals. We thrive on experimentation and innovation in an informal setup; and offer a non-routine environment with excellent benefits package. We are passionate about enabling operational excellence for world's biggest and best organizations. At Spire, you are in the team of game changers where you will have the opportunity to push the limits and become part of the company's success story. Career growth awaits you! Come join Spire! Download PPT Photo 1   View Contact Details","San Diego, CA",Bachelors,"Data Lineage, Data Masking, Data Partitioning, Data Schema Design, Dimensionality Reduction, Data Profiling, Spark, Python, Data Migration, Data Dictionary Management, ETL (Extract, Transform, Load), Data Versioning, Data Serialization Formats (e.g., JSON, XML, Parquet, Avro), Data Cleaning Techniques, Data Visualization Tools (e.g., Tableau, Power BI), Data Analysis, Predictive Analytics, Data Security, Data Augmentation, Data Warehousing Solutions (e.g., Teradata, Snowflake), Data Governance Frameworks (e.g., HIPAA, SOX), Data Replication, Data Shuffling, Data Compression",4,66252.62,In-person,4,UnitedHealth Group,"$139,058","260,000",David S. Wichmann,Health Care
6,WALK IN - As400 Developer - Pfsweb Global Services (bangalore),"We are currently hiring candidates willing to work on JD Edwards Worldsoft Developer Job Details: * Expertise in RPG programming. * Good Knowledge in ERP domain. * Knowledge in OMS/WMS will be an added advantage. * Excellent communication and interpersonal skills. Interested candidates WALK IN on 14th Oct between 10.00 am to 5.00 pm. Venue Details: Revtech Solutions India Private Limited, Prestige Al Kareem Building, 1st Floor, Edward Road, Queens Road, Bangalore - 52 Landmark : Next stop of Shivajinagar , Indian Express Signal , enter Queens Road Opposite to iROBOT ( Queen's corner Restaurant Road ) Note: Queens road is one-way If you are coming in your own vehicle enter Cunningham road Take second right next to KFC enter that road and again take second Right you will enter queens road, Come towards signal on your right side you will find gold star hotel come little further and take right just opposite to iRobot , Edward road. ( entrance Queen's corner Restaurant ) Please carry your updated profile. Kindly confirm before coming for interview by mailing me on asfiyas@pfsweb.com or you can reach me at 080 40451515/080 67430025 Please Note : Kindly be dressed in Business Casuals. Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills AS400 RPG JD Edwards jdedwards technical consultant rpg400 iseries os400 Desired Candidate Profile Please refer to the Job description above Education- UG: B.Tech/B.E. - Any Specialization PG:MCA - Computers, M.Tech - Any Specialization, Computers, MS/M.Sc(Science) - Any Specialization Company Profile: PFS Web Global Services Pvt Ltd A leading Global Commerce Service Provider, PFSweb enables brands and specialty retailers to achieve their commerce goals. We combine integrated technologies, professional services, and a worldwide network of systems and logistics infrastructure to deliver customized solutions for leading retailers and brands. We create Commerce Without Compromise by merging these solutions together to create a branded online shopping experience across all channels. Specialties Strategic Commerce Consulting, Agency Services, Technology Services, Omni-Channel Operations, Technology Ecosystem, Global Expansion Download PPT Photo 1   View Contact Details","Salt Lake City, UT",Bachelors,"Data Reduction Techniques, Data Profiling Tools, Data Clustering, Data Simulation, Distributed Computing, Data Warehousing Solutions (e.g., Teradata, Snowflake), Data Visualization Tools (e.g., Tableau, Power BI), Data Cleaning Tools (e.g., OpenRefine), Cloud Computing (e.g., AWS, Azure, GCP), Data Lineage, NoSQL, Data Pipelining, Data Labeling, Data Analysis Frameworks (e.g., Pandas, NumPy), Hadoop, Data Engineering, Data Warehousing, Data Partitioning, Natural Language Processing (NLP), Data Transformation, Data Denormalization, Data Querying, Data Monitoring, Data Serialization Formats (e.g., JSON, XML, Parquet, Avro)",2,102429.39,Hybrid,,McKesson,"$60,969","64,500",John H. Hammergren,Wholesalers
7,PHP Developer,"experience/strong knowledge in PHP web application development Develop and maintain new features on Web Application development & LAMP stack Handson experience in PHP, Perl, Python, MySQL, JQuery, Ajax is must. Strong in OOPS and must have worked in Salary:INR 3,00,000 - 6,50,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills LAMP PHP MySQL JQuery Ajax Python OOPS Web Application Development Perl Web Technologies Web Services struts asp.net xml soap webservices shampoo Desired Candidate Profile Working experience in any of the APIs like Facebook, Twitter or Google would be added advantage Create highly efficient and dynamic PHP code Familiar with JavaScript frameworks like Angular, React, Ember and/or Backbone Troubleshoot, test and mainta Company Profile: Kinesis Management Consultant Pvt. Ltd Large It Company , Design, develop, maintain and optimize secure and scalable web applications in all phases of the development life cycle Analyze requirements and develop application designs, Download PPT Photo 1   View Contact Details","Phoenix, AZ",Bachelors,"Data Migration Strategies, Data Shuffling, Data Synchronization, Data Warehousing Solutions (e.g., Teradata, Snowflake), Data Exploration, Data Augmentation, Data Encryption, Data Governance, Data Normalization, Data Pipelining, Data Classification, Data Security, Data Streaming, Data Integration, NoSQL, Data Privacy Regulations, Data Clustering, Data Quality Assurance, Data Analysis Frameworks (e.g., Pandas, NumPy), SQL, Data Monitoring, Data Warehousing, Data Lakes, Data Cleaning Techniques, Data Aggregation, Data Transformation, Data Blending, Data Modeling, Data Backup Solutions, Business Intelligence, Data Transformation Languages (e.g., SQL, Python, Scala), Data Archiving, Text Analysis",4,119686.09,Remote,2,CVS Health,"$95,131","203,000",Larry J. Merlo,Health Care
8,Member Technical Staff-wire Harness/cable Harness/technicians,"Job Description for Member Technical - Wire Harness & Fabrication Position Introduction: Rossell Techsys is the Aerospace and Defence (A&D) Division of Rossell India Limited (www.rossellindia.com). Rossell Techsys is based out of the technology hub of India - Bangalore.Rossell Techsys employs a little under 100 staff members and has aggressive growth plans to meet the emerging challenges of the Indian Aerospace and Defence Industry, including potential offset business in India. Rossell Techsys has four core competency areas - Custom embedded systems product development, Test solution design and development including test jigs, rigs, and simulators, Wire harness engineering & looming and Product Support Services. Rossell Techsys is AS9100 Rev C and IS0 9001, 14001(EMS), 27001(ISMS) certified organisation. Rossell Techsys is a CEMILAC approved design house. Positions: This position is for Member - Staff level as an individual contributor with 2 to 10 years of experience. Qualifications and Credentials: Candidates must be at least Diploma in Electronics and Electrical,with excellent academic credentials, from premier educational institutes. Given the kind of vision that Rossell TechSys has set for itself, candidates must not only be worthy professionals, but fundamentally, mature in all aspects of their personality, be able to work in an invigorating, team oriented, and global engineering environment. A belief of 'competing with one's own self' would be good to start with. Candidates with prior experience in aviation and defense domain would be given preference. Candidate who satisfies at least a part of the technical requirements and most of the personality requirements would be exciting candidates to meet with. Technical Requirements: Mandatory / Primary Skills Hands on experience in wiring harness fabrication with knowledge in various cable finishing tools and techniques such as crimp, solder, splicing, potting, sleeving, printing, Connectorisation, etc Knowledge of wire harness components and manufacturing process used in the cable industry is a must. Experience in Aircraft Looms and RF cables will be a plus. Knowledge on Wire Harness In process Inspection stages IPC/WHMA-620 A trained candidate will be a huge plus. Must have worked in an ISO 9001-2008 QMS environment. Experience with AS9100B will be a huge plus. As at this time, we are not working in shifts, however, over time, this position entails working in shifts. Secondary Skills Domain skills in the Aviation and Defense sector. Mechanical CAD design experience will be a huge plus. A fearless attitude to engineering related work. Yet having the good use of common sense and knowing when to take the risk and when not to. Personality Requirements: Candidate must have good communication skills Must have a positive attitude and display maturity in understanding that organizational goals and objectives take precedence to individual goals and objectives. Compensation: Selected Candidates shall be offered benchmark compensation packages and rewards for high performance. Joining Time: Selected Candidates are expected to join within 2 to 4 weeks. References: Selected Candidates will be required to provide a minimum of 2 references on employment. Salary: Not Disclosed by Recruiter Industry: Aviation / Aerospace Firms Functional Area: Production , Manufacturing , Maintenance Role Category:Production/Manufacturing/Maintenance Role:Workman/Foreman/Technician Keyskills WIRE HARNESS CRIMPING SOLDERING SLPICING technician potting sleeving cable harness wiring harness Desired Candidate Profile Please refer to the Job description above Education- UG: Diploma - Any Specialization, Electrical, Electronics/Telecommunication Company Profile: Agile HR consultancy Pvt. Ltd. Rossell Techsys, Bangalore. Introduction: Rossell Techsys is the Aerospace and Defence (A&D) Division of Rossell India Limited (www.rossellindia.com). Rossell Techsys is based out of the technology hub of India - Bangalore.Rossell Techsys employs a little under 100 staff members and has aggressive growth plans to meet the emerging challenges of the Indian Aerospace and Defence Industry, including potential offset business in India. Rossell Techsys has four core competency areas - Custom embedded systems product development, Test solution design and development including test jigs, rigs, and simulators, Wire harness engineering & looming and Product Support Services. Rossell Techsys is AS9100 Rev C and IS0 9001, 14001(EMS), 27001(ISMS) certified organisation. Rossell Techsys is a CEMILAC approved design house. Download PPT Photo 1   View Contact Details","Milwaukee, WI",Bachelors,"A/B Testing, Data Governance Policies, Data Migration, Data Cleaning Techniques, ETL (Extract, Transform, Load), Data Validation Testing, Data Reduction Techniques, Data Simulation, Data Privacy Regulations, Data Recovery",4,56544.75,Remote,20,Amazon.com,"$131,310","566,000",Jeffrey P. Bezos,Retailing
9,Team Leader,"Independent handling of entire production line with 30 employees. Handling of tools and equipment using in line. Give proper training to trainee employees. Keep documents of materials , finished goods and daily output Maintain target output with quality product. Salary:INR 1,00,000 - 2,00,000 P.A Industry: Industrial Products / Heavy Machinery Functional Area: Production , Manufacturing , Maintenance Role Category:Production/Manufacturing/Maintenance Role:Product Development Executive Keyskills Product Quality Production Team Leading team handling teamleadar Desired Candidate Profile Please refer to the Job description above Education- UG: Diploma - Any Specialization, Electronics/Telecommunication Company Profile: HANSUM INDIA ELECTRONICS PVT.LTD. Please have a look our website for more information. www.hansum.in Download PPT Photo 1   View Contact Details","Miami, FL",Bachelors,"Data Ethics Compliance, Data Pipelines, Apache Kafka, ETL (Extract, Transform, Load), Data Augmentation, Data Warehousing, Data Masking, Data Serialization Formats (e.g., JSON, XML, Parquet, Avro), Data Shuffling, Data Cleaning, Big Data Technologies, Data Transformation Languages (e.g., SQL, Python, Scala), NoSQL, Hadoop, Data Versioning, Data Storytelling, Data Quality Assurance, Data Analysis Frameworks (e.g., Pandas, NumPy), Data Engineering, Data Privacy Regulations, Data Analysis, Web Scraping, Data Validation Testing, Data Monitoring, Data Ethics, Data Denormalization, Cloud Computing (e.g., AWS, Azure, GCP), R, Stream Processing, Data Labeling, Dimensionality Reduction",2,88988.55,In-person,2,AT&T,"$444,097","254,000",Randall L. Stephenson,Telecommunications
10,German Translator,"Overall Purpose of Job and Responsibilities Provide translation of process documents, reports and presentations from French and German to English (or) English to French and German as required. Process invoices Liaise with customers and suppliers regarding queries Resolution of queries Skills Requirement Expert communication skills in Spanish and English ( written and spoken ) Previous experience of document management systems and processes would be an advantage. Excellent interpersonal skills. Ability to build credibility internally and with customers Excellent PC application skills and knowledge of computerised accounting systems. Ability to work under pressure & flexibility to meet demanding deadlines essential. Flexible to work in any 10 hour shift Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(NonTechnical) Keyskills pc german french document management english spanish documents computerised accounting Desired Candidate Profile   Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate Company Profile: Accenture Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations. Combining unmatched experience and specialized skills across more than 40 industries and all business functionsunderpinned by the worlds largest delivery networkAccenture works at the intersection of business and technology to help clients improve their performance and create sustainable value for their stakeholders. With approximately 373,000 people serving clients in more than 120 countries, Accenture drives innovation to improve the way the world works and lives. Visit us at www.accenture.com Download PPT Photo 1   View Contact Details","Nashville, TN",Bachelors,"Data Migration Strategies, Natural Language Processing (NLP), Data Analysis Frameworks (e.g., Pandas, NumPy), Data Cleaning, Data Profiling Tools, Data Classification, Data Transformation, Data Integration, NoSQL, Data Migration, Data Archiving, Data Denormalization, Data Transformation Languages (e.g., SQL, Python, Scala), Data Visualization, Data Shuffling, Data Replication, Data Cleaning Tools (e.g., OpenRefine), Data Warehousing Solutions (e.g., Teradata, Snowflake), Data Ethics Compliance, Data Pipelines, Statistical Analysis, Data Recovery, Data Dictionary Management, Data Science, Data Engineering, Data Monitoring, Data Simulation, Data Governance Frameworks (e.g., GDPR, CCPA), Data Mining, Data Annotation, Data Resampling, Data Flow Diagrams, Predictive Analytics, Text Analysis, Data Profiling, Data Security, Data Cleaning Techniques, Web Scraping, Data Compression, Distributed Computing, Data Aggregation, Data Visualization Tools (e.g., Tableau, Power BI), Data Querying, Data Governance, Machine Learning, Data Analysis, Data Modeling, Data Warehousing, Data Lineage, Data Storytelling, Dimensionality Reduction, Data Streaming, Stream Processing, Deep Learning, SQL, MapReduce, ETL (Extract, Transform, Load), Cloud Computing (e.g., AWS, Azure, GCP), Data Pipelining, Data Lakes, Data Normalization, Data Preprocessing, Data Backup Solutions, Data Privacy, Data Wrangling, Data Partitioning",2,147284.06,Remote,,General Motors,"$212,482","180,000",Mary T. Barra,Motor Vehicles &  Parts
